@relation FightDataForLogisticRegression2

@attribute Winner {Red,Blue,Draw}
@attribute B_avg_BODY_landed numeric
@attribute B_avg_HEAD_landed numeric
@attribute B_avg_KD numeric
@attribute B_avg_LEG_landed numeric
@attribute B_avg_PASS numeric
@attribute B_avg_REV numeric
@attribute B_avg_SUB_ATT numeric
@attribute B_avg_TD_landed numeric
@attribute B_losses numeric
@attribute B_total_title_bouts numeric
@attribute B_win_by_Decision_Majority numeric
@attribute B_win_by_Decision_Split numeric
@attribute B_win_by_Decision_Unanimous numeric
@attribute B_win_by_KO/TKO numeric
@attribute B_win_by_Submission numeric
@attribute B_win_by_TKO_Doctor_Stoppage numeric
@attribute B_Reach_cms numeric
@attribute R_avg_BODY_landed numeric
@attribute R_avg_HEAD_landed numeric
@attribute R_avg_KD numeric
@attribute R_avg_LEG_landed numeric
@attribute R_avg_PASS numeric
@attribute R_avg_REV numeric
@attribute R_avg_SUB_ATT numeric
@attribute R_avg_TD_landed numeric
@attribute R_losses numeric
@attribute R_total_title_bouts numeric
@attribute R_win_by_Decision_Majority numeric
@attribute R_win_by_Decision_Split numeric
@attribute R_win_by_Decision_Unanimous numeric
@attribute R_win_by_KO/TKO numeric
@attribute R_win_by_Submission numeric
@attribute R_win_by_TKO_Doctor_Stoppage numeric
@attribute R_Reach_cms numeric
@attribute B_age numeric
@attribute R_age numeric

@data
Red,6,11.2,0.8,5.4,0.4,0,0.4,0.2,1,0,0,1,0,2,1,0,170.18,16.4,23.9,0.4,3.7,1.2,0,0.1,1.9,2,3,0,2,4,2,0,0,162.56,31,32
Red,9.1,32,0,10.2,0.8,0,0.7,0.5,6,0,0,2,1,0,0,1,167.64,7.714286,37,0,14.714286,1.714286,0.142857,0.428571,2.428571,2,2,0,1,2,0,2,0,167.64,32,31
Red,11.322581,23.258065,0.645161,12.193548,0.935484,0.096774,0.354839,0.677419,8,1,0,0,7,10,6,0,185.42,8.666667,35.6,0.2,11.2,0.333333,0.133333,1,0.4,1,2,0,1,3,3,6,1,193.04,36,35
Blue,14,53.75,0.5,2.5,0.5,0.25,0.25,1.25,0,0,0,0,2,2,0,0,170.18,10.25,24,0.375,11.5,0.125,0,0,0.625,2,0,0,1,4,1,0,0,172.72,26,29
Blue,14.5,45,0,2,0,0,0,0,1,0,0,0,1,0,0,0,185.42,6.75,22.75,0.5,3,0.25,0,0,0,1,0,0,0,1,2,0,0,190.5,32,26
Red,12.333333,42.666667,0,20.166667,1.333333,0.166667,0.666667,0.333333,2,0,0,0,3,0,1,0,162.56,7.5,31.25,0,4,7.75,0,0.5,4.5,0,1,0,0,1,1,2,0,167.64,33,28
Red,7.416667,24,0.416667,10.083333,0.583333,0.083333,0.666667,0.583333,4,0,0,0,2,3,3,0,165.1,18.25,23.333333,0,10.666667,1.5,0.083333,0.75,1.75,3,0,0,0,5,1,3,0,180.34,32,29
Blue,11,29.75,0,13,0.25,0.25,0.25,0.25,2,0,0,1,1,0,0,0,167.64,17.555556,46.777778,0,9.222222,0.777778,0.111111,0,0.111111,4,1,0,2,3,0,0,0,162.56,25,33
Blue,4.75,46.5,0.5,5,0,0,0,0.5,1,0,0,0,1,2,0,0,182.88,6.733333,15.266667,0.133333,10.266667,0.666667,0.4,0.666667,1.066667,5,1,0,0,3,4,3,0,180.34,31,37
Red,17.9,45.3,0.2,11.1,0.1,0.1,0,0.3,6,0,0,0,4,0,0,0,162.56,5.333333,79,0,21.333333,0,0,0,0,0,0,0,0,3,0,0,0,160.02,34,29
Blue,4.142857,17.428571,0.285714,2.571429,0.285714,0,0,1,5,0,0,0,0,2,0,0,187.96,4,27,0,37,0,0,0,0,1,0,0,0,0,0,0,0,200.66,28,28
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,172.72,6.666667,27.083333,0.5,2,0.25,0,0,0.166667,7,1,0,1,0,4,0,0,175.26,35,34
Red,13,29,0.375,19.375,1.25,0.25,0.5,1.125,3,0,0,0,3,1,1,0,165.1,13.333333,37.166667,0.166667,10.666667,0,0,0.166667,0,2,0,0,1,3,0,0,0,172.72,33,30
Blue,6.181818,23.272727,0.454545,3.727273,0.454545,0.181818,0.363636,0.363636,4,1,0,0,1,5,1,0,193.04,6.6,32.266667,0.6,5.333333,1.133333,0,0.333333,1.2,5,3,0,0,3,5,2,0,200.66,30,32
Blue,8.333333,40.666667,0.666667,11.333333,1.333333,0,0,1,0,0,0,0,2,1,0,0,198.12,7.272727,10.727273,0.272727,8.090909,0.090909,0,0.181818,0.272727,5,0,0,0,1,3,0,2,200.66,27,39
Red,1,13.5,0,2.5,2.5,0,1,3,1,0,0,0,0,0,1,0,172.72,0.8,15.4,0.2,0.2,3.2,0.8,1,2.4,1,0,0,1,1,1,1,0,182.88,26,30
Blue,4.2,14.8,0,0.8,1,0.4,0.2,1.2,3,0,0,0,1,0,1,0,180.34,7.2,24.4,0.4,3.2,0.6,0,0.2,0.4,2,0,0,1,0,2,0,0,177.8,29,32
Red,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,5,21,0,15,0.333333,0,0,0.333333,3,0,0,0,0,0,0,0,175.26,26,31
Blue,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,187.96,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,182.88,27,27
Blue,22.2,16.4,0,5,0,0,0.2,0.4,3,0,0,0,2,0,0,0,165.1,7.5,7.5,0,5.5,0,0,0,0.5,2,1,0,0,0,0,0,0,177.8,37,37
