R_fighter,B_fighter,date,Winner,title_bout,weight_class,no_of_rounds,B_avg_BODY_landed,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SUB_ATT,B_avg_TD_landed,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_Stance,B_Height_cms,B_Reach_cms,R_avg_BODY_landed,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SUB_ATT,R_avg_TD_landed,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_Stance,R_Height_cms,R_Reach_cms,B_age,R_age
Henry Cejudo,Marlon Moraes,6/8/2019,Red,TRUE,Bantamweight,5,6,11.2,0.8,5.4,0.4,0,0.4,0.2,1,0,0,1,0,2,1,0,Orthodox,167.64,170.18,16.4,23.9,0.4,3.7,1.2,0,0.1,1.9,2,3,0,2,4,2,0,0,Orthodox,162.56,162.56,31,32
Valentina Shevchenko,Jessica Eye,6/8/2019,Red,TRUE,Women Flyweight,5,9.1,32,0,10.2,0.8,0,0.7,0.5,6,0,0,2,1,0,0,1,Orthodox,167.64,167.64,7.714285714,37,0,14.71428571,1.714285714,0.142857143,0.428571429,2.428571429,2,2,0,1,2,0,2,0,Southpaw,165.1,167.64,32,31
Tony Ferguson,Donald Cerrone,6/8/2019,Red,FALSE,Lightweight,3,11.32258065,23.25806452,0.64516129,12.19354839,0.935483871,0.096774194,0.35483871,0.677419355,8,1,0,0,7,10,6,0,Orthodox,185.42,185.42,8.666666667,35.6,0.2,11.2,0.333333333,0.133333333,1,0.4,1,2,0,1,3,3,6,1,Orthodox,180.34,193.04,36,35
Jimmie Rivera,Petr Yan,6/8/2019,Blue,FALSE,Bantamweight,3,14,53.75,0.5,2.5,0.5,0.25,0.25,1.25,0,0,0,0,2,2,0,0,Switch,170.18,170.18,10.25,24,0.375,11.5,0.125,0,0,0.625,2,0,0,1,4,1,0,0,Orthodox,162.56,172.72,26,29
Tai Tuivasa,Blagoy Ivanov,6/8/2019,Blue,FALSE,Heavyweight,3,14.5,45,0,2,0,0,0,0,1,0,0,0,1,0,0,0,Southpaw,180.34,185.42,6.75,22.75,0.5,3,0.25,0,0,0,1,0,0,0,1,2,0,0,Southpaw,187.96,190.5,32,26
Tatiana Suarez,Nina Ansaroff,6/8/2019,Red,FALSE,Women Strawweight,3,12.33333333,42.66666667,0,20.16666667,1.333333333,0.166666667,0.666666667,0.333333333,2,0,0,0,3,0,1,0,Orthodox,165.1,162.56,7.5,31.25,0,4,7.75,0,0.5,4.5,0,1,0,0,1,1,2,0,?,165.1,167.64,33,28
Aljamain Sterling,Pedro Munhoz,6/8/2019,Red,FALSE,Bantamweight,3,7.416666667,24,0.416666667,10.08333333,0.583333333,0.083333333,0.666666667,0.583333333,4,0,0,0,2,3,3,0,Orthodox,167.64,165.1,18.25,23.33333333,0,10.66666667,1.5,0.083333333,0.75,1.75,3,0,0,0,5,1,3,0,Orthodox,170.18,180.34,32,29
Karolina Kowalkiewicz,Alexa Grasso,6/8/2019,Blue,FALSE,Women Strawweight,3,11,29.75,0,13,0.25,0.25,0.25,0.25,2,0,0,1,1,0,0,0,Orthodox,165.1,167.64,17.55555556,46.77777778,0,9.222222222,0.777777778,0.111111111,0,0.111111111,4,1,0,2,3,0,0,0,Orthodox,160.02,162.56,25,33
Ricardo Lamas,Calvin Kattar,6/8/2019,Blue,FALSE,Featherweight,3,4.75,46.5,0.5,5,0,0,0,0.5,1,0,0,0,1,2,0,0,Orthodox,180.34,182.88,6.733333333,15.26666667,0.133333333,10.26666667,0.666666667,0.4,0.666666667,1.066666667,5,1,0,0,3,4,3,0,Orthodox,172.72,180.34,31,37
Yan Xiaonan,Angela Hill,6/8/2019,Red,FALSE,Women Strawweight,3,17.9,45.3,0.2,11.1,0.1,0.1,0,0.3,6,0,0,0,4,0,0,0,Orthodox,160.02,162.56,5.333333333,79,0,21.33333333,0,0,0,0,0,0,0,0,3,0,0,0,Orthodox,165.1,160.02,34,29
